mode,variant,seed,scope,n,accuracy,precision,recall,f1,mcc
retrained-wf int8,clean,44,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf float32,noise_snr30db,44,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,noise_snr30db,44,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf float32,noise_snr20db,44,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,noise_snr20db,44,test,171,0.9707602339181286,0.7222222222222222,1.0,0.8387096774193549,0.8362817040971272
retrained-wf float32,noise_snr10db,44,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf int8,noise_snr10db,44,test,171,0.9005847953216374,0.43333333333333335,1.0,0.6046511627906976,0.6218591968922657
retrained-wf float32,noise_snr5db,44,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,noise_snr5db,44,test,171,0.8947368421052632,0.41935483870967744,1.0,0.5909090909090909,0.6095738157363387
retrained-wf float32,clean,45,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf int8,clean,45,full,854,0.9871194379391101,0.8513513513513513,1.0,0.9197080291970803,0.9162489172982042
retrained-wf float32,noise_snr30db,45,full,854,0.9988290398126464,1.0,0.9841269841269841,0.992,0.9914052650410256
retrained-wf int8,noise_snr30db,45,full,854,0.9859484777517564,0.84,1.0,0.9130434782608695,0.9095364957868055
retrained-wf float32,noise_snr20db,45,full,854,0.9976580796252927,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9828627616238236
retrained-wf int8,noise_snr20db,45,full,854,0.955503512880562,0.6237623762376238,1.0,0.7682926829268293,0.7705819539778832
retrained-wf float32,noise_snr10db,45,full,854,0.990632318501171,0.8985507246376812,0.9841269841269841,0.9393939393939394,0.9354645085583535
retrained-wf int8,noise_snr10db,45,full,854,0.9098360655737705,0.45,1.0,0.6206896551724138,0.6373340491967198
retrained-wf float32,noise_snr5db,45,full,854,0.9847775175644028,0.8378378378378378,0.9841269841269841,0.9051094890510949,0.9003255030659563
retrained-wf int8,noise_snr5db,45,full,854,0.882903981264637,0.38650306748466257,1.0,0.5575221238938053,0.5810683952334641
retrained-wf float32,clean,45,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,clean,45,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf float32,noise_snr30db,45,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,noise_snr30db,45,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf float32,noise_snr20db,45,test,171,1.0,1.0,1.0,1.0,1.0
retrained-wf int8,noise_snr20db,45,test,171,0.9649122807017544,0.6842105263157895,1.0,0.8125,0.8113124232385857
retrained-wf float32,noise_snr10db,45,test,171,0.9883040935672515,0.8666666666666667,1.0,0.9285714285714286,0.9250384870542661
retrained-wf int8,noise_snr10db,45,test,171,0.9122807017543859,0.4642857142857143,1.0,0.6341463414634146,0.648234491986011
